date,name,station_status,remote_id,station_bytes,mirror_bytes,in_mirror,size_match,verdict
2026-07-27,20260727T133131.mp4,SYNCED,3514,9364349,9364349,True,True,RECLAIM
2026-07-27,20260727T130124.mp4,SYNCED,3513,9286622,9286622,True,True,RECLAIM
2026-07-27,20260727T123132.mp4,SYNCED,3512,9563253,9563253,True,True,RECLAIM
2026-07-27,20260727T120132.mp4,SYNCED,3511,9471882,9471882,True,True,RECLAIM
2026-07-27,20260727T113129.mp4,SYNCED,3510,9394732,9394732,True,True,RECLAIM
2026-07-27,20260727T110132.mp4,SYNCED,3509,9617415,9617415,True,True,RECLAIM
2026-07-27,20260727T103123.mp4,SYNCED,3508,10058044,10058044,True,True,RECLAIM
2026-07-27,20260727T100127.mp4,SYNCED,3507,10294545,10294545,True,True,RECLAIM
2026-07-27,20260727T093131.mp4,SYNCED,3506,10270318,10270318,True,True,RECLAIM
2026-07-27,20260727T090132.mp4,SYNCED,3505,10044003,10044003,True,True,RECLAIM
2026-07-27,20260727T083124.mp4,SYNCED,3504,9378927,9378927,True,True,RECLAIM
2026-07-27,20260727T080131.mp4,SYNCED,3503,9308971,9308971,True,True,RECLAIM
2026-07-27,20260727T073126.mp4,SYNCED,3502,9313888,9313888,True,True,RECLAIM
2026-07-27,20260727T070133.mp4,SYNCED,3501,9486556,9486556,True,True,RECLAIM
2026-07-27,20260727T063123.mp4,SYNCED,3500,9312484,9312484,True,True,RECLAIM
2026-07-27,20260727T060132.mp4,SYNCED,3499,10273050,10273050,True,True,RECLAIM
2026-07-27,20260727T053126.mp4,FAILED,,9411323,9411323,True,True,ALREADY-ON-SERVER
2026-07-27,20260727T050133.mp4,SYNCED,3497,9399204,9399204,True,True,RECLAIM
2026-07-27,20260727T043131.mp4,SYNCED,3496,9971396,9971396,True,True,RECLAIM
2026-07-27,20260727T040126.mp4,SYNCED,3495,9311088,9311088,True,True,RECLAIM
2026-07-27,20260727T033134.mp4,SYNCED,3494,9363333,9363333,True,True,RECLAIM
2026-07-27,20260727T030126.mp4,SYNCED,3493,10077669,10077669,True,True,RECLAIM
2026-07-27,20260727T023132.mp4,SYNCED,3492,9453338,9453338,True,True,RECLAIM
2026-07-27,20260727T020129.mp4,SYNCED,3491,10124928,10124928,True,True,RECLAIM
2026-07-27,20260727T013124.mp4,SYNCED,3490,10032778,10032778,True,True,RECLAIM
2026-07-27,20260727T010133.mp4,SYNCED,3489,10080308,10080308,True,True,RECLAIM
2026-07-27,20260727T003132.mp4,SYNCED,3488,10048539,10048539,True,True,RECLAIM
2026-07-27,20260727T000123.mp4,SYNCED,3487,10213167,10213167,True,True,RECLAIM
2026-07-26,20260726T233132.mp4,FAILED,,10065390,,False,False,UPLOAD
2026-07-26,20260726T230126.mp4,SYNCED,3486,9336414,9336414,True,True,RECLAIM
2026-07-26,20260726T223131.mp4,SYNCED,3485,9476668,9476668,True,True,RECLAIM
2026-07-26,20260726T220126.mp4,FAILED,,10247675,10247675,True,True,ALREADY-ON-SERVER
2026-07-26,20260726T213127.mp4,SYNCED,3483,9924752,9924752,True,True,RECLAIM
2026-07-26,20260726T210125.mp4,SYNCED,3482,9287383,9287383,True,True,RECLAIM
2026-07-26,20260726T203127.mp4,SYNCED,3481,9626062,9626062,True,True,RECLAIM
2026-07-26,20260726T200130.mp4,SYNCED,3480,9809991,9809991,True,True,RECLAIM
2026-07-26,20260726T193131.mp4,SYNCED,3479,9576332,9576332,True,True,RECLAIM
2026-07-26,20260726T190126.mp4,SYNCED,3478,9324779,9324779,True,True,RECLAIM
2026-07-26,20260726T183131.mp4,SYNCED,3477,9938347,9938347,True,True,RECLAIM
2026-07-26,20260726T180133.mp4,SYNCED,3476,9440565,9440565,True,True,RECLAIM
2026-07-26,20260726T173124.mp4,SYNCED,3475,9966162,9966162,True,True,RECLAIM
2026-07-26,20260726T170129.mp4,FAILED,,9380195,,False,False,UPLOAD
2026-07-26,20260726T163128.mp4,SYNCED,3474,9475015,9475015,True,True,RECLAIM
2026-07-26,20260726T160128.mp4,SYNCED,3473,9485952,9485952,True,True,RECLAIM
2026-07-26,20260726T153132.mp4,SYNCED,3472,9979655,9979655,True,True,RECLAIM
2026-07-26,20260726T150124.mp4,SYNCED,3471,9966641,9966641,True,True,RECLAIM
2026-07-26,20260726T143131.mp4,SYNCED,3470,9368063,9368063,True,True,RECLAIM
2026-07-26,20260726T140130.mp4,SYNCED,3469,9284429,9284429,True,True,RECLAIM
2026-07-26,20260726T133126.mp4,SYNCED,3468,9988483,9988483,True,True,RECLAIM
2026-07-26,20260726T130133.mp4,SYNCED,3467,9945146,9945146,True,True,RECLAIM
2026-07-26,20260726T123124.mp4,SYNCED,3466,9272844,9272844,True,True,RECLAIM
